,書名,類別,字數,大綱,狀態,評分
116,智代After ～It's a Wonderful L...,校園 青春 戀愛,20.3萬,在廢品回收站工作的岡崎朋也，開始了與戀人坂上智代的甜蜜生活。智代的弟弟鷹文帶來了父親的私生女小智，小智被母親所拋棄，...,完結,10
117,CLANNAD,校園 青春 戀愛 歡樂向,121.8萬,《CLANNAD》為2004年key社所發行的文字冒險遊戲（AVG），和key社以往遊戲不同的是，這款是以全年齡版PC的形式發行，在2006年...,完結,10
118,精靈、戰車與我的日常,穿越 戰爭 後宮 人外,25.7萬,「嗚哇！耳朵在動耶，耳朵。而且還尖尖的…這麼說來是精靈嘍？ 我、我、我來到異世界啦——！」 某天，身為軍事宅的高一生裕一...,連載,8.9
119,天才王子的赤字國家重生術～對...,戰爭 經營 鬥智 戀愛 青梅竹馬 ,101萬,王子是最大的賣國賊!? 只想拋下國家遊手好閒!!然而總是事與願違──？ 天才王子的赤字國家重生術～對了，就來賣國吧～ 「真...,連載,9.8
120,致終焉·緋縈忒娜煙海,科幻 末日 治癒,15.3萬,掰開剝離.抓握緊攥 哭喊祈求.沉默無視 撕裂軀殼.踐踏知理 海浪如前次拍打.重複著舉起下落 皮囊之下蠕動之物.鮮紅染料得以...,連載,9.7
121,嘆息的亡靈想引退 〜最弱獵人做...,奇幻 冒險 後宮 歡樂向 青梅竹馬,178.5萬,在世界各地中存在的寶物殿以及在那裡沉睡著的蘊藏著特殊力量的寶具。財富與名譽，以及力量。這是為了追求榮譽，不惜一切危險...,連載,9.8
122,電波女與青春男,校園 青春 戀愛 歡樂向 後宮 ,118.7萬,我的獲得青春點數計畫（具體來說，就是與女孩子共度酸酸甜甜的高中生活大作戰），就在這個傳說有外星人監視的城鎮里展開。據...,完結,9.9
123,在男子禁止的遊戲世界裡，我唯...,穿越 魔法 校園 後宮,56.7萬,——夾在百合中間的男人就該死。 希羅在完美詮釋那句話的百合遊戲世界，『Everything for the score』里轉生了。 雖然對於百合...,連載,9.9
124,被坐在後面的辣妹喜歡上，我快...,校園 青春 戀愛 歡樂向,23.5萬,坐在我後面的同學‧結崎志乃，是全校數一數二的美少女辣妹。我原本總是埋頭讀書，過著一個朋友都沒有的日子，會出手幫助她也不...,連載,9.8
125,與媽媽友一起撫養的♡情喜劇,青春 戀愛 歡樂向,16.3萬,與女高中生一起的育兒生活，雖然忙碌卻十分珍貴。 昏本響汰是個熱愛三歲妹妹的兄控高中生，父母都在工作，他還要兼顧家務...,連載,9.9
126,轉生七王子的魔法全解,轉生 魔法 冒險 龍傲天,49.6萬,在某位貧窮魔術師在決鬥中不幸隕落後，他發現自己轉生為一個名叫羅伊德的王族之子。作為無關王位繼承的第七王子，羅伊德被父...,連載,8.2
127,【悲報】大小姐系底邊迷宮主播...,奇幻 冒險 戰鬥 歡樂向 大小姐 女性視角,15.9萬,混混大小姐，爆炸性登場！ 「哈，今天也是0個觀看者，3個訂閱者……。我是不是不適合這個啊……」 身著禮服在地下城攻略的...,連載,9.9
128,落第騎士英雄譚,校園 奇幻 戰鬥 後宮 ,194.5萬,「只要全都聽你的就好了嘛！色鬼！」 〈魔法騎士〉，他們是一群能將靈魂轉化為魔劍，使用魔劍戰鬥的現代魔法師。黑鐵一輝就...,連載,9.8
129,一直被當成無能的魔導師其實是...,奇幻 魔法 冒險 龍傲天 後宮,35.6萬,帝國貴族之子阿爾斯，天生擁有來自諸神恩賜的天賦【聽覺】。 這項天賦的效果僅是「聽力變強」──被烙上無能烙印的阿爾斯因而...,連載,9.8
130,GOSICK,奇幻 懸疑 冒險 戀愛,181.7萬,「聖瑪格麗特學園」中的日本留學生久城一彌，與擁有天才頭腦的同年級少女維多利加共同遭遇的種種事件。 久城一彌是從日本來...,連載,10
131,空理の典/SORANORI,奇幻 科幻 青梅竹馬 戰鬥 戀愛,8.6萬,銀河系遭到異界入侵之後，人類在世界之理的幫助下，向外射出了承載著人類最後希望的火種船，而其中數艘火種船成功來到了【新...,連載,9.7
132,惡魔公女 ～悠哉惡魔の物語～,異世界 轉生 女性視角 大小姐 黑暗 人外 戀愛,18.5萬,——我夢見了一個、滿溢光輝的世界。 家人、學校、友人、電車、公交、電影、書本。 我在那個光之世界成長……最後在純白的房間...,連載,9.9
133,公爵千金的家庭教師,校園 魔法 戰爭 後宮 大小姐,154.8萬,「我還是第一次看到，有人能將浮游魔法使得如此收放自如。」 「這一點也不難，只是大家都沒嘗試過罷了。」 擁有當代社會無...,連載,9.8
134,兩位將來會生下我,轉生 魔法 治癒 女性視角,86.6萬,在6歲時，我失去了父母，在後來成為了神聖帝國的女皇。 然而事實上只是徒有其表的傀儡君主。 被伯父利用，最後以魔女的身份...,完結,9.6
135,理想的小白臉生活,穿越 奇幻 戰爭 經營 後宮,206.1萬,山井善治郎是生活於現代日本的年輕白領族。某日一早，善治郎突然被召喚到恐龍逛大街的亞熱帶異世界「卡巴王國」。召喚他的人...,連載,9.9
136,約會大作戰 DATE A LIVE,校園 奇幻 戰鬥 歡樂向 後宮 ,413.2萬,帶給世界災害的「精靈」。 解決方法只有消滅或……約會？ 五河士道在春假結束的隔天——四月十日，被可愛的妹妹吵醒後，前往學...,完結,9.9
137,替雙親還債的條件是和全日本最...,校園 青春 戀愛 歡樂向,48.8萬,糖度300%的同居愛情喜劇。 主人公吉住勇也被迫償還逃亡海外的父母留下的債務。 拯救了這樣窮途末路的人生危機的是被選為日...,完結,9.8
138,異世界賢者的轉生無雙 ～用遊戲...,穿越 奇幻 冒險 龍傲天 後宮,26.9萬,不幸病故的男性，在轉生之後看到的是—— 與他以前玩過的VRMMO非常類似的世界。 然而，那個世界的居民們卻連基本技能都未能善...,連載,9.3
139,被吊銷冒險者執照的大叔，與♡女...,奇幻 冒險 旅行 龍傲天 女兒,26.8萬,達克拉斯過去曾是傳說中的最強魔術師。 可是，如今他到了被稱為大叔的年紀後，卻體能衰退、全身病痛。 當他變成只要被敵人...,連載,8.9
140,成為悲劇元兇的最強異端，最後...,穿越 戰鬥 戀愛 女性視角,73.8萬,反派最終頭目女王的轉生故事 8歲時發現自己轉生成遊戲的最後頭目女王啦!! 我8歲時，發現自己轉生成女性向遊戲中作惡多端...,連載,9.2
141,不時輕聲地以俄語遮羞的鄰座艾...,校園 青春 戀愛 後宮 青梅竹馬 大小姐,90.5萬,「И наменятоже обрати внимание.」 「啊？妳說什麼？」 「沒有啊？我只是說『這傢伙真的很蠢』。」 「可以別用俄語罵我嗎...,連載,9.6
142,身為VTuber的我因為忘記關台而...,歡樂向 職場 青春 女性視角,59.5萬,Live-ON是一間坐擁諸多才華洋溢的VTuber的大型公司。 其中身為三期生，以「清秀」為賣點的VTuber心音淡雪， 因為一時失察而...,連載,9.9
143,靠死亡遊戲混飯吃。,黑暗 鬥智 遊戲 大逃殺 女性視角,23.2萬,醒來以後，發現自己人在陌生的洋樓， 身上穿著不知何時換上的女僕裝，而有同樣遭遇的少女還有五人。 「遊戲」開始了，我們...,連載,9.9
144,被干架最強的辣妹拖著走的放學...,校園 後宮 歡樂向,9.2萬,「既然都放學了，今天也在備品室一起玩吧～」 不幸考進吊車尾不良高中的優等生‧史季，被校內備受景仰的干架最強美少女‧夏凜...,連載,5.7
145,月光下的異世界の旅,穿越 奇幻 冒險 龍傲天 後宮 人外,191.8萬,某一天，我，深澄真，由於父母的原因，在月讀大人引導下，變成了前往異世界的窘境。 外掛能力也被賦予了，這難道是勇者flag...,連載,9.5
146,我和班上最討厭的女生結婚了。,校園 歡樂向 青春 戀愛 後宮 ,43.8萬,我和班上同學結婚了。而且是校內最難應付、有如天敵一般的女生。 高中生北條才人和班上同學結婚了，對方是在校內最處不來、...,連載,9.7
147,魔法禁書目錄外傳 王牌御坂美琴...,校園 科幻 異能 魔法 戰鬥,17.1萬,學園都市的Level 5。 水火不容的二人認真對決的話，贏的是哪邊？,連載,10
148,吸血鬼騎士官方小說,奇幻 冒險 戰鬥,11.9萬,藍堂英是貴族吸血鬼，藍堂家的長男，自稱為玖蘭樞的崇拜者？ 在這樣的藍堂和夜間部面前出現了一名少女？ 這是優姬和零升上...,連載,10
149,Stellar Step,科幻 競技 青春 ,11.7萬,世界因隕石災難而荒廢。被暴力地替換為戰爭的〈道具〉，被迫戰鬥的少女們被稱為「偶像」。 但這不過是徒有其名。她們的舞台...,連載,9.2
150,是誰殺死了勇者,懸疑 奇幻 冒險 戰爭,9.8萬,勇者打倒了魔王，但與此同時——他也成為了無法歸來之人。 勇者打倒魔王后過了四年。終於從戰後的陰影中恢複過來的王國，為...,連載,10
151,無盡連鎖,奇幻 戰鬥 冒險 後宮,273.4萬,〈無限〉的冒險現在開始—— 能夠依據各個玩家的行動丶個性與玩法獨自進化其能力的系統〈創胎〉， 以及栩栩如生丶生存於遊戲...,連載,10
152,男女の間存在純友情嗎？（不，...,校園 青春 戀愛 後宮 歡樂向,73.6萬,在某一所鄉村國中，一對男女向彼此立下永恆友情的誓言。 朝著同一個夢想前進，成為命運共同體的兩人之間── 關係並沒有任何...,連載,9.7
153,…………,校園 青春 戀愛 後宮 歡樂向 ,28.7萬,「如果妳不嫌棄的話，能不能穿上我的內褲？」「……你說什麼？」 只能穿土氣內衣的女高中生・水野澪，某天更衣時被同班同學浦...,連載,9.8
154,我與一乃的遊戲同好會活動日誌,校園 青春 歡樂向 後宮 ,101.9萬,荒谷學園第三舊校舍，在這棟古老木造建築物一樓的遊戲同好會社辦里，白崎宗司與孤高的美少女‧森冢一乃正一起度過放學後的時間...,完結,9.9
155,秒殺外掛太強了，異世界的傢伙...,異世界 龍傲天 戀愛 歡樂向,146.7萬,修學旅行的途中全班同學被自稱紫苑的賢者召喚到了異世界，並給予了學生們能成為賢者力量的「恩賜」，但是沒有獲得力量的壇之...,完結,8.2
156,精靈幻想記,穿越 魔法 龍傲天 後宮 青梅竹馬 ,277.8萬,少年利歐是住在貧民窟的孤兒。他在七歲時的某一天，突然想起曾身為日本大學生「天川春人」的記憶，然後發現自己轉生到了劍與...,連載,9.7
157,班長的現任是女僕,校園 青春 戀愛,4.2萬,「啊！回家的時候會順道帶過去的。只要讓他在校服訂購表上簽字就好了吧？」 白天是『品學兼優』的前任班長（男）。 「歡迎...,連載,8.2
158,甩了劈腿女友の後，我被全校第...,校園 青春 戀愛 歡樂向 後宮,8.6萬,「不、不會吧……？」目睹這輩子交的第一位女朋友──莉愛的劈腿現場，新世當場發了訊息告訴她『我們分手吧」，親手結束了一切。...,連載,9.5
159,未婚妻應該討厭我，但又不解除婚約,奇幻 戀愛 後宮 青梅竹馬 歡樂向,4.2萬,夢想成為冒險者的我，尤烏・埃斯佩蘭特，在進入魔法學院同時，就被動訂下了婚約。 對象是我的青梅竹馬史黛拉・葛拉基耶斯...,連載,9.2
160,以為轉生就能活得自由，我竟是...,奇幻 穿越 轉生,51.8萬,「這邊的世界實在好玩，所以有好一陣子沒去看我的世界了。 記得最後那次，魔術師的等級應該是…… 嗯，為了致歉，就給妳足以...,連載,9.1
161,迷宮狂走曲 ～到了色情遊戲世界...,穿越 冒險 戰鬥 後宮 歡樂向,12.1萬,哈爾貝德轉生到了傳說中的凌辱RPG色情遊戲【來自深淵（迷宮）的呼喚】世界。在這個世界當中，存在透過攻略迷宮來賺取報酬的冒...,連載,9.7
162,你又是誰的外遇,校園 青春 戀愛 歡樂向,5.5萬,世界上最幸福的事情是追到了自己喜歡的女孩。 但是，明明應該是最幸福的人，可我卻背叛了自己的幸福。 因為這段戀愛是委屈...,連載,9.9
163,一周一次Ｍ下同班同學的那些事..., 校園 戀愛,10.4萬,宮城每周付一次五千日元給仙台。 五千日元用於買下仙台的三個小時，期間宮城獲得命令她的權利。 在校園階級中處於下層的宮...,連載,9.7
164,安閑領主的愉快領地防衛,轉生 異世界 冒險 魔法,62.6萬,出生於貴族家庭的凡，在兩歲時突然想起自己是轉世者。 凡表現出了不像幼兒的行為，一度被傳言成神童。 然而，在進行魔術適...,連載,9.3
165,才不要這樣的青春戀♡喜劇！,校園 青春 戀愛,7.9萬,高中生星沫，因為父親再婚意外多了一個同齡的妹妹——佐藤雪靜， 顯而易見她是個日本人。 莫非是戀愛喜劇展開？才怪！是國際糾...,連載,10
166,學長，你會乖乖聽話的吧？,校園 青春 戀愛 歡樂向,3.6萬,突然，男子高中生生野健斗所居住的公寓里來了位校園裡有名的美少女天原葵！她向吃驚的健斗炫耀著一張粗糙的紙片，上面寫著健...,連載,9.8
167,我和她和她和她的不健全關係,懸疑 戀愛 後宮 歡樂向,32.9萬,我愛學習，想要整天以學習度日。 女友？會妨礙學習所以不需要。 就這樣我平生只顧著學習，卻在交通事故中失去了記憶。之後...,連載,9.8
168,超強度可♡間諜戰 ～優柔寡斷的...,校園 青春 戀愛 間諜 歡樂向,9.9萬,因一名「乍看普通」高中生所展開的緊張感MAX「欺詐愛」戀愛喜劇正式開幕！ 「我想和凡田同學更加親密嘛！」 身為高中生便...,完結,10
169,被捲入了勇者召喚事件卻發現異...,穿越 奇幻 歡樂向 後宮,159.5萬,在和平的異世界，開始悠閑＆恩愛的生活！！ 從大學回家的路上，快人和等紅燈的高中生們一起被傳送到了異世界。 看上去是被...,連載,9.1
170,魔女與傭兵,冒險 奇幻 戰鬥 魔法,8.5萬,雙刃、奔馳。當扭曲的兩人相遇時，故事便開始了。 「魔女」───在魔獸和魔術消失的大陸上，唯一剩下的未知存在。 向著古老...,連載,9.9
